locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
SL1344_3688,2,-6.2996,4.20E-05,1,d1
SL1344_P3_0008,8,-0.83718,4.20E-05,1,d1
SL1344_3685,4,-0.87837,4.20E-05,1,d1
SL1344_3684,2,-4.5567,4.20E-05,1,d1
SL1344_3687,2,-3.0935,4.20E-05,1,d1
SL1344_2067,2,-2.2624,4.20E-05,1,d1
SL1344_3562,2,-2.0107,4.20E-05,1,d1
SL1344_2059,2,-1.6236,4.20E-05,1,d1
SL1344_3679,2,-1.105,4.20E-05,1,d1
SL1344_2395,1,-4.7626,4.20E-05,1,d1
SL1344_2854,1,-4.054,4.20E-05,1,d1
SL1344_4407,1,-5.2699,4.20E-05,1,d1
SL1344_1834,1,-5.0874,4.20E-05,1,d1
SL1344_3677,1,-4.8303,4.20E-05,1,d1
SL1344_3500,1,-3.338,4.20E-05,1,d1
SL1344_2072,1,-2.9569,4.20E-05,1,d1
SL1344_3678,1,-3.9926,4.20E-05,1,d1
SL1344_2837,1,-2.78,4.20E-05,1,d1
SL1344_2065,1,-2.7325,4.20E-05,1,d1
SL1344_3020,1,-2.375,4.20E-05,1,d1
SL1344_P3_0014,1,-2.0038,4.20E-05,1,d1
SL1344_0915,1,-1.9651,4.20E-05,1,d1
SL1344_3070,1,-1.8969,4.20E-05,1,d1
SL1344_1712,1,-1.6116,4.20E-05,1,d1
SL1344_0779,1,-1.592,4.20E-05,1,d1
SL1344_2064,1,-1.5728,4.20E-05,1,d1
SL1344_4007,1,-1.5737,4.20E-05,1,d1
SL1344_P3_0004,1,-1.562,4.20E-05,1,d1
SL1344_1622,1,-1.4823,4.20E-05,1,d1
SL1344_3689,1,-1.3514,4.20E-05,1,d1
SL1344_2070,1,-1.1878,4.20E-05,1,d1
SL1344_3853,1,-1.1664,4.20E-05,1,d1
SL1344_P3_0006,1,-1.1241,4.20E-05,1,d1
SL1344_4362,1,-2.1324,4.20E-05,1,d1
SL1344_4238,1,-1.0686,4.20E-05,1,d1
SL1344_2073,1,-1.0595,4.20E-05,1,d1
SL1344_4183,1,-1.0044,4.20E-05,1,d1
SL1344_4017,1,-0.94621,4.20E-05,1,d1
SL1344_0392,1,-0.80926,4.20E-05,1,d1
SL1344_4389,1,-0.76134,4.20E-05,1,d1
SL1344_2179,1,-0.75155,4.20E-05,1,d1
SL1344_1176,1,-0.43566,4.20E-05,1,d1
SL1344_4300,1,-0.70941,4.20E-05,1,d1
SL1344_4157,1,-0.59377,4.20E-05,1,d1
SL1344_1567,4,0.090546,4.20E-05,7.00E-06,d1
SL1344_2146,1,-0.57289,4.20E-05,1,d1
SL1344_4467,1,-0.55402,4.20E-05,1,d1
SL1344_4314,1,-0.51087,4.20E-05,1,d1
SL1344_3905,1,-0.47915,4.20E-05,1,d1
SL1344_0084,1,-0.44686,4.20E-05,1,d1
SL1344_2852,1,-0.43952,4.20E-05,1,d1
SL1344_2161,1,-0.43487,4.20E-05,1,d1
SL1344_4240,1,-0.43879,4.20E-05,1,d1
SL1344_1388,1,-0.41484,4.20E-05,1,d1
SL1344_0846,1,-0.40018,4.20E-05,1,d1
SL1344_1599,1,-0.36259,4.20E-05,1,d1
SL1344_P2_0096,1,-0.35183,4.20E-05,1,d1
SL1344_0040,1,-0.30507,4.20E-05,1,d1
SL1344_P1_0020,1,-0.29423,4.20E-05,1,d1
SL1344_3682,1,-0.30211,4.20E-05,1,d1
SL1344_3766,1,-0.26554,4.20E-05,1,d1
SL1344_4241,2,-0.6026,4.20E-05,1,d1
SL1344_0866,1,-0.2638,4.20E-05,1,d1
SL1344_2881,1,-0.26359,4.20E-05,1,d1
SL1344_4239,1,-0.26597,4.20E-05,1,d1
SL1344_P1_0087,1,-0.25126,4.20E-05,1,d1
SL1344_P1_0069,1,-0.25179,4.20E-05,1,d1
