locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name,ID
SL1344_3688,2,-6.2996,4.2e-05,1.0,d1,rfaG,gene-SL1344_3688
SL1344_P3_0008,8,-0.83718,4.2e-05,1.0,d1,mobA,gene-SL1344_P3_0008
SL1344_3685,4,-0.87837,4.2e-05,1.0,d1,rfaB,gene-SL1344_3685
SL1344_3684,2,-4.5567,4.2e-05,1.0,d1,rfaI,gene-SL1344_3684
SL1344_3687,2,-3.0935,4.2e-05,1.0,d1,rfaP,gene-SL1344_3687
SL1344_2067,2,-2.2624,4.2e-05,1.0,d1,rfbH,gene-SL1344_2067
SL1344_3562,2,-2.0107,4.2e-05,1.0,d1,gor,gene-SL1344_3562
SL1344_2059,2,-1.6236,4.2e-05,1.0,d1,rfbP,gene-SL1344_2059
SL1344_3679,2,-1.105,4.2e-05,1.0,d1,rfaL,gene-SL1344_3679
SL1344_2395,1,-4.7626,4.2e-05,1.0,d1,ptsI,gene-SL1344_2395
SL1344_2854,1,-4.054,4.2e-05,1.0,d1,prgH,gene-SL1344_2854
SL1344_4407,1,-5.2699,4.2e-05,1.0,d1,pepA,gene-SL1344_4407
SL1344_1834,1,-5.0874,4.2e-05,1.0,d1,yebC,gene-SL1344_1834
SL1344_3677,1,-4.8303,4.2e-05,1.0,d1,rfaF,gene-SL1344_3677
SL1344_3500,1,-3.338,4.2e-05,1.0,d1,SL1344_3500,gene-SL1344_3500
SL1344_2072,1,-2.9569,4.2e-05,1.0,d1,rfbA,gene-SL1344_2072
SL1344_3678,1,-3.9926,4.2e-05,1.0,d1,rfaC,gene-SL1344_3678
SL1344_2837,1,-2.78,4.2e-05,1.0,d1,hypD,gene-SL1344_2837
SL1344_2065,1,-2.7325,4.2e-05,1.0,d1,rfbX,gene-SL1344_2065
SL1344_3020,1,-2.375,4.2e-05,1.0,d1,xerD,gene-SL1344_3020
SL1344_P3_0014,1,-2.0038,4.2e-05,1.0,d1,aph(3'')-Ib,gene-SL1344_P3_0014
SL1344_0915,1,-1.9651,4.2e-05,1.0,d1,aroA,gene-SL1344_0915
SL1344_3070,1,-1.8969,4.2e-05,1.0,d1,gshB,gene-SL1344_3070
SL1344_1712,1,-1.6116,4.2e-05,1.0,d1,ychF,gene-SL1344_1712
SL1344_0779,1,-1.592,4.2e-05,1.0,d1,moaB,gene-SL1344_0779
SL1344_2064,1,-1.5728,4.2e-05,1.0,d1,rfbV,gene-SL1344_2064
SL1344_4007,1,-1.5737,4.2e-05,1.0,d1,cpxA,gene-SL1344_4007
SL1344_P3_0004,1,-1.562,4.2e-05,1.0,d1,repA,gene-SL1344_P3_0004
SL1344_1622,1,-1.4823,4.2e-05,1.0,d1,sapA,gene-SL1344_1622
SL1344_3689,1,-1.3514,4.2e-05,1.0,d1,rfaQ,gene-SL1344_3689
SL1344_2070,1,-1.1878,4.2e-05,1.0,d1,rfbI,gene-SL1344_2070
SL1344_3853,1,-1.1664,4.2e-05,1.0,d1,rbsR,gene-SL1344_3853
SL1344_P3_0006,1,-1.1241,4.2e-05,1.0,d1,SL1344_P3_0006,gene-SL1344_P3_0006
SL1344_4362,1,-2.1324,4.2e-05,1.0,d1,iolD,gene-SL1344_4362
SL1344_4238,1,-1.0686,4.2e-05,1.0,d1,dcuB,gene-SL1344_4238
SL1344_2073,1,-1.0595,4.2e-05,1.0,d1,rfbD,gene-SL1344_2073
SL1344_4183,1,-1.0044,4.2e-05,1.0,d1,alr-b,gene-SL1344_4183
SL1344_4017,1,-0.94621,4.2e-05,1.0,d1,SL1344_4017,gene-SL1344_4017
SL1344_0392,1,-0.80926,4.2e-05,1.0,d1,phoB,gene-SL1344_0392
SL1344_4389,1,-0.76134,4.2e-05,1.0,d1,yjgF,gene-SL1344_4389
SL1344_2179,1,-0.75155,4.2e-05,1.0,d1,yeiH,gene-SL1344_2179
SL1344_1176,1,-0.43566,4.2e-05,1.0,d1,icdA,gene-SL1344_1176
SL1344_4300,1,-0.70941,4.2e-05,1.0,d1,nsrR,gene-SL1344_4300
SL1344_4157,1,-0.59377,4.2e-05,1.0,d1,pgi,gene-SL1344_4157
SL1344_1567,4,0.090546,4.2e-05,7e-06,d1,SL1344_1567,gene-SL1344_1567
SL1344_2146,1,-0.57289,4.2e-05,1.0,d1,pbpG,gene-SL1344_2146
SL1344_4467,1,-0.55402,4.2e-05,1.0,d1,SL1344_4467,gene-SL1344_4467
SL1344_4314,1,-0.51087,4.2e-05,1.0,d1,yjfQ,gene-SL1344_4314
SL1344_3905,1,-0.47915,4.2e-05,1.0,d1,uvrD,gene-SL1344_3905
SL1344_0084,1,-0.44686,4.2e-05,1.0,d1,SL1344_0084,gene-SL1344_0084
SL1344_2852,1,-0.43952,4.2e-05,1.0,d1,prgJ,gene-SL1344_2852
SL1344_2161,1,-0.43487,4.2e-05,1.0,d1,sanA,gene-SL1344_2161
SL1344_4240,1,-0.43879,4.2e-05,1.0,d1,dcuR,gene-SL1344_4240
SL1344_1388,1,-0.41484,4.2e-05,1.0,d1,rnfD,gene-SL1344_1388
SL1344_0846,1,-0.40018,4.2e-05,1.0,d1,SL1344_0846,gene-SL1344_0846
SL1344_1599,1,-0.36259,4.2e-05,1.0,d1,SL1344_1599,gene-SL1344_1599
SL1344_P2_0096,1,-0.35183,4.2e-05,1.0,d1,pilK,gene-SL1344_P2_0096
SL1344_0040,1,-0.30507,4.2e-05,1.0,d1,nhaA,gene-SL1344_0040
SL1344_P1_0020,1,-0.29423,4.2e-05,1.0,d1,traW,gene-SL1344_P1_0020
SL1344_3682,1,-0.30211,4.2e-05,1.0,d1,rfaY,gene-SL1344_3682
SL1344_3766,1,-0.26554,4.2e-05,1.0,d1,emrD,gene-SL1344_3766
SL1344_4241,2,-0.6026,4.2e-05,1.0,d1,dcuS,gene-SL1344_4241
SL1344_0866,1,-0.2638,4.2e-05,1.0,d1,artI,gene-SL1344_0866
SL1344_2881,1,-0.26359,4.2e-05,1.0,d1,SL1344_2881,gene-SL1344_2881
SL1344_4239,1,-0.26597,4.2e-05,1.0,d1,SL1344_4239,gene-SL1344_4239
SL1344_P1_0087,1,-0.25126,4.2e-05,1.0,d1,pefA,gene-SL1344_P1_0087
SL1344_P1_0069,1,-0.25179,4.2e-05,1.0,d1,spvC,gene-SL1344_P1_0069
SL1344_2061,2,-0.59293,4.2e-05,1.0,d1,cpsB2,gene-SL1344_2061
SL1344_0476,1,-0.22056,4.2e-05,1.0,d1,apt,gene-SL1344_0476
SL1344_0544,1,-0.21943,4.2e-05,1.0,d1,SL1344_0544,gene-SL1344_0544
SL1344_3884,1,-0.20085,1.0,0.888619,d1,rffA,gene-SL1344_3884
SL1344_P1_0023,1,-0.20019,1.0,0.888619,d1,SL1344_P1_0023,gene-SL1344_P1_0023
SL1344_2035,1,-0.1651,1.0,0.888619,d1,yeeX,gene-SL1344_2035
SL1344_3422,1,-0.17122,1.0,0.888619,d1,slyD,gene-SL1344_3422
SL1344_2937,1,-0.14,1.0,0.676149,d1,relA,gene-SL1344_2937
SL1344_P2_0083,1,-0.12563,1.0,0.676149,d1,shfC,gene-SL1344_P2_0083
SL1344_4486,1,-0.11657,1.0,0.676149,d1,rimI,gene-SL1344_4486
SL1344_P2_0076,1,-0.11703,1.0,0.676149,d1,traH,gene-SL1344_P2_0076
SL1344_3499,1,-0.1108,1.0,0.676149,d1,SL1344_3499,gene-SL1344_3499
SL1344_0741,1,-0.10496,1.0,0.676149,d1,SL1344_0741,gene-SL1344_0741
SL1344_1709,2,-0.23375,4.2e-05,0.934141,d1,ychM,gene-SL1344_1709
