locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name
SL1344_3688,2,-6.2996,4.2e-05,1.0,d1,rfaG
SL1344_P3_0008,8,-0.83718,4.2e-05,1.0,d1,mobA
SL1344_3685,4,-0.87837,4.2e-05,1.0,d1,rfaB
SL1344_3684,2,-4.5567,4.2e-05,1.0,d1,rfaI
SL1344_3687,2,-3.0935,4.2e-05,1.0,d1,rfaP
SL1344_2067,2,-2.2624,4.2e-05,1.0,d1,rfbH
SL1344_3562,2,-2.0107,4.2e-05,1.0,d1,gor
SL1344_2059,2,-1.6236,4.2e-05,1.0,d1,rfbP
SL1344_3679,2,-1.105,4.2e-05,1.0,d1,rfaL
SL1344_2395,1,-4.7626,4.2e-05,1.0,d1,ptsI
SL1344_2854,1,-4.054,4.2e-05,1.0,d1,prgH
SL1344_4407,1,-5.2699,4.2e-05,1.0,d1,pepA
SL1344_1834,1,-5.0874,4.2e-05,1.0,d1,yebC
SL1344_3677,1,-4.8303,4.2e-05,1.0,d1,rfaF
SL1344_3500,1,-3.338,4.2e-05,1.0,d1,SL1344_3500
SL1344_2072,1,-2.9569,4.2e-05,1.0,d1,rfbA
SL1344_3678,1,-3.9926,4.2e-05,1.0,d1,rfaC
SL1344_2837,1,-2.78,4.2e-05,1.0,d1,hypD
SL1344_2065,1,-2.7325,4.2e-05,1.0,d1,rfbX
SL1344_3020,1,-2.375,4.2e-05,1.0,d1,xerD
SL1344_P3_0014,1,-2.0038,4.2e-05,1.0,d1,aph(3'')-Ib
SL1344_0915,1,-1.9651,4.2e-05,1.0,d1,aroA
SL1344_3070,1,-1.8969,4.2e-05,1.0,d1,gshB
SL1344_1712,1,-1.6116,4.2e-05,1.0,d1,ychF
SL1344_0779,1,-1.592,4.2e-05,1.0,d1,moaB
SL1344_2064,1,-1.5728,4.2e-05,1.0,d1,rfbV
SL1344_4007,1,-1.5737,4.2e-05,1.0,d1,cpxA
SL1344_P3_0004,1,-1.562,4.2e-05,1.0,d1,repA
SL1344_1622,1,-1.4823,4.2e-05,1.0,d1,sapA
SL1344_3689,1,-1.3514,4.2e-05,1.0,d1,rfaQ
SL1344_2070,1,-1.1878,4.2e-05,1.0,d1,rfbI
SL1344_3853,1,-1.1664,4.2e-05,1.0,d1,rbsR
SL1344_P3_0006,1,-1.1241,4.2e-05,1.0,d1,SL1344_P3_0006
SL1344_4362,1,-2.1324,4.2e-05,1.0,d1,iolD
SL1344_4238,1,-1.0686,4.2e-05,1.0,d1,dcuB
SL1344_2073,1,-1.0595,4.2e-05,1.0,d1,rfbD
SL1344_4183,1,-1.0044,4.2e-05,1.0,d1,alr-b
SL1344_4017,1,-0.94621,4.2e-05,1.0,d1,SL1344_4017
SL1344_0392,1,-0.80926,4.2e-05,1.0,d1,phoB
SL1344_4389,1,-0.76134,4.2e-05,1.0,d1,yjgF
SL1344_2179,1,-0.75155,4.2e-05,1.0,d1,yeiH
SL1344_1176,1,-0.43566,4.2e-05,1.0,d1,icdA
SL1344_4300,1,-0.70941,4.2e-05,1.0,d1,nsrR
SL1344_4157,1,-0.59377,4.2e-05,1.0,d1,pgi
SL1344_1567,4,0.090546,4.2e-05,7e-06,d1,SL1344_1567
SL1344_2146,1,-0.57289,4.2e-05,1.0,d1,pbpG
SL1344_4467,1,-0.55402,4.2e-05,1.0,d1,SL1344_4467
SL1344_4314,1,-0.51087,4.2e-05,1.0,d1,yjfQ
SL1344_3905,1,-0.47915,4.2e-05,1.0,d1,uvrD
SL1344_0084,1,-0.44686,4.2e-05,1.0,d1,SL1344_0084
SL1344_2852,1,-0.43952,4.2e-05,1.0,d1,prgJ
SL1344_2161,1,-0.43487,4.2e-05,1.0,d1,sanA
SL1344_4240,1,-0.43879,4.2e-05,1.0,d1,dcuR
SL1344_1388,1,-0.41484,4.2e-05,1.0,d1,rnfD
SL1344_0846,1,-0.40018,4.2e-05,1.0,d1,SL1344_0846
SL1344_1599,1,-0.36259,4.2e-05,1.0,d1,SL1344_1599
SL1344_P2_0096,1,-0.35183,4.2e-05,1.0,d1,pilK
SL1344_0040,1,-0.30507,4.2e-05,1.0,d1,nhaA
SL1344_P1_0020,1,-0.29423,4.2e-05,1.0,d1,traW
SL1344_3682,1,-0.30211,4.2e-05,1.0,d1,rfaY
SL1344_3766,1,-0.26554,4.2e-05,1.0,d1,emrD
SL1344_4241,2,-0.6026,4.2e-05,1.0,d1,dcuS
SL1344_0866,1,-0.2638,4.2e-05,1.0,d1,artI
SL1344_2881,1,-0.26359,4.2e-05,1.0,d1,SL1344_2881
SL1344_4239,1,-0.26597,4.2e-05,1.0,d1,SL1344_4239
SL1344_P1_0087,1,-0.25126,4.2e-05,1.0,d1,pefA
SL1344_P1_0069,1,-0.25179,4.2e-05,1.0,d1,spvC
SL1344_2061,2,-0.59293,4.2e-05,1.0,d1,cpsB2
SL1344_0476,1,-0.22056,4.2e-05,1.0,d1,apt
SL1344_0544,1,-0.21943,4.2e-05,1.0,d1,SL1344_0544
SL1344_3884,1,-0.20085,1.0,0.888619,d1,rffA
SL1344_P1_0023,1,-0.20019,1.0,0.888619,d1,SL1344_P1_0023
SL1344_2035,1,-0.1651,1.0,0.888619,d1,yeeX
SL1344_3422,1,-0.17122,1.0,0.888619,d1,slyD
SL1344_2937,1,-0.14,1.0,0.676149,d1,relA
SL1344_P2_0083,1,-0.12563,1.0,0.676149,d1,shfC
SL1344_4486,1,-0.11657,1.0,0.676149,d1,rimI
SL1344_P2_0076,1,-0.11703,1.0,0.676149,d1,traH
SL1344_3499,1,-0.1108,1.0,0.676149,d1,SL1344_3499
SL1344_0741,1,-0.10496,1.0,0.676149,d1,SL1344_0741
SL1344_1709,2,-0.23375,4.2e-05,0.934141,d1,ychM
SL1344_0545,2,-0.20474,4.2e-05,0.719516,d1,fimW
SL1344_3473,1,-0.10431,1.0,0.676149,d1,feoB
SL1344_3086,1,-0.08037,1.0,0.676149,d1,yggX
SL1344_1332,1,-0.068593,1.0,0.676149,d1,sseBa
SL1344_0693,1,-0.07065,1.0,0.676149,d1,ybgJ
SL1344_3874,1,-0.063713,1.0,0.676149,d1,rhlB
SL1344_P1_0013,1,-0.064855,1.0,0.676149,d1,traQ
SL1344_0318,2,-0.19572,4.2e-05,0.719516,d1,proA
SL1344_0247,1,-0.052197,1.0,0.676149,d1,yaeE
SL1344_1136,1,-0.054494,1.0,0.676149,d1,yceG
SL1344_4200,2,0.01286,4.2e-05,7e-06,d1,yjcC
SL1344_1960,1,-0.039995,1.0,0.676149,d1,SL1344_1960
SL1344_P1_0036,3,0.045815,4.2e-05,7e-06,d1,SL1344_P1_0036
SL1344_1930,1,-0.036874,1.0,0.470389,d1,SL1344_1930
SL1344_1621,1,-0.016843,1.0,0.470389,d1,pspF
SL1344_3229,1,-0.03976,1.0,0.470389,d1,SL1344_3229
SL1344_P2_0095,3,-0.20887,4.2e-05,0.575131,d1,pilL
SL1344_0511,1,-0.037593,1.0,0.470389,d1,gip
SL1344_3847,1,-0.014874,1.0,0.470389,d1,kup
SL1344_P2_0055,2,-0.28731,4.2e-05,1.0,d1,exc
SL1344_P2_0009,2,-0.25565,4.2e-05,1.0,d1,yafA
SL1344_P1_0016,1,-0.028658,1.0,0.470389,d1,traN
SL1344_0744,1,-0.021819,1.0,0.470389,d1,dcoA
SL1344_3630,1,-0.016672,1.0,0.470389,d1,avtA
SL1344_1619,1,-0.016395,1.0,0.470389,d1,pspB
SL1344_0115,4,0.30069,4.2e-05,7e-06,d1,leuO
SL1344_1824,1,-0.01422,1.0,0.470389,d1,yebA
SL1344_0253,1,-0.01049,1.0,0.470389,d1,yafD
SL1344_P1_0014,2,-0.10845,4.2e-05,0.719516,d1,traF
SL1344_3230,1,0.0029988,1.0,0.470389,d1,SL1344_3230
SL1344_1794,1,0.0052183,1.0,0.470389,d1,SL1344_1794
SL1344_1081,1,0.0078901,1.0,0.470389,d1,csgA
SL1344_2440,1,0.0087992,1.0,0.470389,d1,yffH
SL1344_P2_0012,4,-0.14697,4.2e-05,0.676149,d1,cib
SL1344_1203,1,0.011765,1.0,0.470389,d1,SL1344_1203
SL1344_2079,1,0.012853,1.0,0.470389,d1,wzx
SL1344_P2_0090,2,-0.068747,1.0,0.440589,d1,pilQ
SL1344_P1_0010,1,0.014005,1.0,0.470389,d1,traG
SL1344_2220,1,0.018379,1.0,0.470389,d1,SL1344_2220
