Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaJ,4,-4.2841,5e-05,1.0,d1,FQ312003.1,3933800,3934811,-,gene-SL1344_3683,SL1344_3683,15bc
rfaI,3,-8.5947,5e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
rfaP,3,-7.6623,5e-05,1.0,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,15bc
prgK,4,-0.94832,5e-05,1.0,d1,FQ312003.1,3037571,3038330,-,gene-SL1344_2851,SL1344_2851,15bc
rfaK,3,-1.9528,5e-05,1.0,d1,FQ312003.1,3930874,3931738,-,gene-SL1344_3680,SL1344_3680,15bc
rfaB,2,-3.333,5e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
arcB,2,-8.1807,5e-05,1.0,d1,FQ312003.1,3511908,3514245,-,gene-SL1344_3300,SL1344_3300,15bc
rfbP,2,-2.0745,5e-05,1.0,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,15bc
repA,4,-1.4098,0.002219,0.36965,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,15bc
repA,4,-1.4098,0.002219,0.36965,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,15bc
rfbN,2,-2.2178,5e-05,1.0,d1,FQ312003.1,2163007,2163952,-,gene-SL1344_2062,SL1344_2062,15bc
rfbH,2,-2.7004,5e-05,1.0,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,15bc
mobA,5,-0.58748,0.014663,0.967795,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,15bc
mobA,5,-0.58748,0.014663,0.967795,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,15bc
